. Sequence file : [6t_filtered_min4_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #38	6   	-105353.69545	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05553   0.06554   0.79846   0.19153  
      	     	          	           	             	                                      	 0.07401  -0.95929   0.02666   0.85861  
      	     	          	           	             	                                      	 0.88577   0.02619  -0.97113   0.05917  
      	     	          	           	             	                                      	 0.19179   0.76136   0.05341  -1.00656  

  #39	6   	-105390.01582	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04336   0.06917   0.79097   0.18322  
      	     	          	           	             	                                      	 0.07811  -0.97083   0.02542   0.86730  
      	     	          	           	             	                                      	 0.87747   0.02497  -0.96779   0.06535  
      	     	          	           	             	                                      	 0.18347   0.76906   0.05899  -1.01152  

  #40	6   	-104978.32695	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03574   0.06589   0.78870   0.18114  
      	     	          	           	             	                                      	 0.07440  -0.97762   0.02208   0.88113  
      	     	          	           	             	                                      	 0.87495   0.02170  -0.96015   0.06350  
      	     	          	           	             	                                      	 0.18139   0.78133   0.05731  -1.02003  

  #41	6   	-105199.29602	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04494   0.06666   0.80412   0.17416  
      	     	          	           	             	                                      	 0.07528  -0.96523   0.02497   0.86498  
      	     	          	           	             	                                      	 0.89205   0.02453  -0.98290   0.06631  
      	     	          	           	             	                                      	 0.17440   0.76701   0.05986  -1.00127  

  #42	6   	-105321.07731	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.02867   0.06049   0.78433   0.18386  
      	     	          	           	             	                                      	 0.06831  -0.97921   0.02817   0.88273  
      	     	          	           	             	                                      	 0.87010   0.02768  -0.96156   0.06379  
      	     	          	           	             	                                      	 0.18411   0.78274   0.05758  -1.02443  

  #43	6   	-105194.17944	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04132   0.06151   0.79660   0.18322  
      	     	          	           	             	                                      	 0.06946  -0.97380   0.02679   0.87755  
      	     	          	           	             	                                      	 0.88371   0.02632  -0.96622   0.05619  
      	     	          	           	             	                                      	 0.18347   0.77815   0.05072  -1.01234  

  #44	6   	-105635.60593	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03688   0.06420   0.78585   0.18683  
      	     	          	           	             	                                      	 0.07250  -0.96703   0.02284   0.87169  
      	     	          	           	             	                                      	 0.87179   0.02244  -0.96499   0.07076  
      	     	          	           	             	                                      	 0.18709   0.77296   0.06387  -1.02391  

  #45	6   	-105466.87310	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04233   0.06333   0.78571   0.19329  
      	     	          	           	             	                                      	 0.07152  -0.96851   0.02473   0.87227  
      	     	          	           	             	                                      	 0.87163   0.02429  -0.95822   0.06230  
      	     	          	           	             	                                      	 0.19355   0.77347   0.05623  -1.02325  

  #46	6   	-105327.93486	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04510   0.06453   0.79471   0.18586  
      	     	          	           	             	                                      	 0.07287  -0.96066   0.02247   0.86533  
      	     	          	           	             	                                      	 0.88162   0.02207  -0.97194   0.06825  
      	     	          	           	             	                                      	 0.18612   0.76732   0.06161  -1.01504  

  #47	6   	-105543.70838	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04675   0.06252   0.79400   0.19022  
      	     	          	           	             	                                      	 0.07061  -0.95999   0.02767   0.86171  
      	     	          	           	             	                                      	 0.88083   0.02719  -0.97289   0.06487  
      	     	          	           	             	                                      	 0.19048   0.76410   0.05855  -1.01314  

  #48	6   	-105347.76286	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05438   0.06335   0.79667   0.19435  
      	     	          	           	             	                                      	 0.07154  -0.95964   0.02481   0.86330  
      	     	          	           	             	                                      	 0.88380   0.02437  -0.96583   0.05766  
      	     	          	           	             	                                      	 0.19462   0.76551   0.05205  -1.01218  

  #49	6   	-105184.76840	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03543   0.06093   0.79133   0.18316  
      	     	          	           	             	                                      	 0.06881  -0.97215   0.02466   0.87867  
      	     	          	           	             	                                      	 0.87787   0.02423  -0.96582   0.06372  
      	     	          	           	             	                                      	 0.18341   0.77915   0.05752  -1.02007  

  #50	6   	-105443.83292	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05849   0.06589   0.80844   0.18416  
      	     	          	           	             	                                      	 0.07441  -0.95341   0.02406   0.85494  
      	     	          	           	             	                                      	 0.89685   0.02364  -0.98253   0.06204  
      	     	          	           	             	                                      	 0.18441   0.75810   0.05600  -0.99852  

  #51	6   	-104926.90237	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05496   0.06111   0.81115   0.18269  
      	     	          	           	             	                                      	 0.06901  -0.95321   0.02550   0.85869  
      	     	          	           	             	                                      	 0.89986   0.02505  -0.98576   0.06086  
      	     	          	           	             	                                      	 0.18294   0.76143   0.05493  -0.99931  

  #52	6   	-105321.29670	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05106   0.05976   0.80236   0.18894  
      	     	          	           	             	                                      	 0.06748  -0.95227   0.02326   0.86153  
